1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.603183641710599461e-01,4.840446901729417162e-01,1.556369456559982822e-01
3.114956868723294248e-01,4.979475295217821174e-01,1.905567836058885411e-01
2.606078864918726645e-01,4.316185651411877933e-01,3.077735483669395977e-01
3.932388857529967030e-02,4.388431550738431941e-01,5.218329563508571356e-01
1.690174851674567380e-01,5.394663952323140999e-01,2.915161196002291621e-01
2.236735422635971818e-02,5.705704187648353853e-01,4.070622270088048444e-01
2.050303107785355489e-02,5.810295590824864354e-01,3.984674098396601138e-01
1.887197288975494408e-02,5.934020153499468542e-01,3.877260117602982503e-01
1.933255791105520371e-02,5.408059447749057336e-01,4.398614973140391182e-01
8.127773886568203862e-03,4.734620163748340937e-01,5.184102097385977492e-01
7.725674406149322590e-03,3.575633388297839721e-01,6.347109867640666758e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.110643932047999716e-01,2.532626468509433515e-01,3.567295994425671163e-02
3.709523428194476391e-02,7.935895062545256229e-01,1.693152594635296271e-01
3.644406520143066153e-02,7.922886086287083129e-01,1.712673261698610117e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.008000636743540124e-01,3.680960893682097002e-01,3.110384695743632910e-02
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
