5.000904144218093483e-01,4.999095855781905962e-01
5.000903776337563000e-01,4.999096223662437555e-01
4.148602233046194687e-01,5.851397766953806423e-01
3.708527836346030560e-01,6.291472163653970551e-01
3.990958071134632079e-01,6.009041928865368476e-01
3.690682715564422289e-01,6.309317284435577156e-01
3.661438715516013853e-01,6.338561284483986702e-01
3.731829213645761478e-01,6.268170786354239077e-01
3.648430890093066203e-01,6.351569109906933797e-01
3.980306961643667041e-01,6.019693038356332959e-01
4.101217418976254026e-01,5.898782581023747085e-01
3.907605005368144924e-01,6.092394994631854521e-01
3.026729756953467354e-01,6.973270243046533201e-01
2.856338897711909741e-01,7.143661102288091369e-01
3.842621266855071882e-01,6.157378733144928118e-01
4.014562035726891298e-01,5.985437964273109257e-01
3.697873597021203995e-01,6.302126402978796005e-01
3.888636683542601724e-01,6.111363316457397721e-01
3.945330498243296291e-01,6.054669501756703154e-01
4.136833397041057570e-01,5.863166602958942430e-01
3.756216238419652909e-01,6.243783761580347091e-01
1.815630782229160078e-01,8.184369217770840477e-01
4.190280278579183171e-01,5.809719721420816274e-01
3.951721800409605523e-01,6.048278199590394477e-01
3.858176770811760914e-01,6.141823229188239086e-01
3.706788626270262066e-01,6.293211373729737934e-01
3.753418199723779769e-01,6.246581800276219676e-01
3.850024326030062616e-01,6.149975673969937384e-01
4.035259529148486624e-01,5.964740470851513932e-01
