id,State
Ailuropoda_melanoleuca,Herbivorous
Bos_mutus,Herbivorous
Camelus_bactrianus,Omnivorous
Canis_familiaris,Carnivorous
Capra_hircus,Herbivorous
Castor_canadensis,Herbivorous
Cebus_capucinus,Omnivorous
Ceratotherium_simum_simum,Herbivorous
Chlorocebus_sabaeus,Herbivorous
Colobus_angolensis,Herbivorous
Cricetulus_griseus,Omnivorous
Enhydra_lutris_kenyoni,Carnivorous
Eptesicus_fuscus,Carnivorous
Equus_asinus,Herbivorous
Homo_sapiens,Omnivorous
Macaca_fascicularis,Omnivorous
Mus_musculus,Omnivorous
Nomascus_leucogenys,Herbivorous
Odobenus_rosmarus_divergens,Carnivorous
Odocoileus_virginianus_texanus,Herbivorous
Orcinus_orca,Carnivorous
Orycteropus_afer_afer,Carnivorous
Otolemur_garnettii,Omnivorous
Panthera_pardus,Carnivorous
Papio_anubis,Omnivorous
Physeter_catodon,Carnivorous
Rhinolophus_sinicus,Carnivorous
Sus_scrofa,Omnivorous
Trichechus_manatus_latirostris,Herbivorous
Tupaia_chinensis,Omnivorous
